关键词,微博id,微博正文,头条文章url,原始图片url,微博视频url,发布位置,发布时间,发布工具,点赞数,转发数,评论数
生成式AI,5273038501449645,#模型时代# HiggsfieldAI 创始人谈AI产品打法：2个人90天，就可以做100万美金营收的生意这期Silicon Valley Girl播客的内容感觉很OPC。嘉宾Alex Mashrabov，是Higgsfield AI的联合创始人兼CEO。他曾在Snapchat主导生成式AI业务，此前创办的AI Factory于2020年被Snap以1.66亿美元收购。2025年初，他 ...全文,,无,,,Thu Mar 05 09:23:30 +0800 2026,至顶科技创始人 AI博主,35,23,2
生成式AI,5273217930889232,#建议把未成年人数据不出域当作底线#【全国政协委员龙婉丽：建议制定教育场景生成式AI使用负面清单和推荐清单】今年全国两会期间，全国政协委员，民盟上海市委副主委、上海市静安区副区长龙婉丽建议，制定教育场景生成式AI使用负面清单和推荐清单，强调杜绝“代劳式”使用，并按学段、学科、任务类型细 ...全文,,https://wx4.sinaimg.cn/orj360/005vnhZYgy1iawdtgp4bej60sr0g6jwj02.jpg,,,Thu Mar 05 21:16:29 +0800 2026,澎湃新闻官方微博,7,5,3
生成式AI,5273214448048503,对ai包容度稍微高的人，一开始只接受ai给予情绪价值，慢慢就会觉得让ai生成无伤大雅的文娱产物无所谓，紧接着会让ai参与自己的创作，最后完全将自身价值委身于ai，把ai对自己作品和人生的评价奉为圭臬。因为见识了太多我曾经认为的优质创作者变成这样，我仍然觉得，不要对生成式ai包容度太高，当一开 ...全文,,无,,,Thu Mar 05 21:02:39 +0800 2026,REDMI Turbo 4 Pro,13,4,2
生成式AI,5273149034726829,缩量上涨 明天关注两点今天大盘在外围股市普遍大涨的影响下，两市大盘高开高走，盘中最高上攻到4125点附近，随后开始逐步回落，最终还是以上涨报收，大盘虽然没有大涨，但两市个股涨多跌少，个股中位数超过0.7%，说明大部分人都是赚钱的，但没有前面6%的亏损，也就没有今天1%的反弹，这就是市场，永 ...全文,,https://wx4.sinaimg.cn/orj360/005LAkypgy1iaw5wk5tynj30zk0imdje.jpg,,,Thu Mar 05 16:42:43 +0800 2026,投资内容创作者,28,1,2
生成式AI,5273165555042536,【重复填的不算，不认真填的也不会发放，辛苦费也没多少钱没必要】这样来替我自己的毕业论文问卷宣传一下！认真填写的每份都有辛苦💰，大家记得看完指导语来填呀互关宝宝们能不能帮主播转转助力这个咕咕早日毕业，转发区收到300份后请ai师傅抽一杯奶茶🧋（但要帮我填问卷）一键助力主播毕业！ ,,https://wx1.sinaimg.cn/orj360/970379b5gy1iaw7t7vzogj20hs0to0xb.jpg,,,Thu Mar 05 17:48:22 +0800 2026,超话粉丝大咖（潘珏辰超话）,15,55,22
生成式AI,5273186146981283,原来在用ai翻译，那这个po主会把グラビアアイドル直接【理解】成舞台表演的偶像也真是毫不意外了……（AI翻訳を信頼するやつは全然信用できない※はいからうどん是天妇罗的炸面衣碎洒在乌冬表面做成的，是关西叫法，在关东的俗称是タヌキうどん，这个google一下也不难理解，至于问生成式AI吗… ,,https://wx1.sinaimg.cn/orj360/006JbQSFgy1iaw9yspzodj30zo185tl9.jpg,,,Thu Mar 05 19:10:11 +0800 2026,iPhone客户端,2,2,3
生成式AI,5273164890246546,Claude独立攻克图论猜想，仅用31步！算法祖师爷高德纳震惊发文震惊！震惊！就在刚刚，Claude仅用31步，就独立攻克了未解的图论猜想难题。写《计算机程序设计艺术》的算法祖师爷高德纳惊呼：「我不得不重新评估生成式AI在数学研究中的作用」。在斯坦福的官网上，他本人发布了一篇原始论文。开头 ...全文,,"https://wx2.sinaimg.cn/orj360/006e14C0ly1iaw7q7jkvaj30cp0bp408.jpg,https://wx2.sinaimg.cn/orj360/006e14C0ly1iaw7qf62mgj30u00ab13k.jpg",,,Thu Mar 05 17:45:43 +0800 2026,新智元官方微博,14,6,2
生成式AI,5273154697560715,🚀家人们谁懂啊！AI 这波真的要起飞了！！刚整理完2025-2026 AI最火前景，看完直接惊呆😱🔥 生成式AI已经杀疯了🤖 智能体Agent要取代打工人？💰 这些赛道正在暴富⚠️ 但这些坑千万别踩说实话，普通人想抓住AI红利，真得好好看看这篇！不说了，全文太长放评论区👇想看的宝子们 ...全文,,无,,,Thu Mar 05 17:05:13 +0800 2026,微博网页版,0,0,1
生成式AI,5273149069592290,#deepseek崩了#  3月5日大量用户反馈DeepSeek无法访问，页面持续提示服务器繁忙，代码调试、文案生成等工作被迫中断，话题迅速冲上热搜。官方回应称系瞬时访问量激增、网络波动导致，目前服务已逐步恢复。不少付费用户吐槽频繁宕机影响效率，也暴露出生成式AI平台算力扩容跟不上用户增长的行业难题。 ,,无,,,Thu Mar 05 16:42:51 +0800 2026,微博网页版,0,0,1
生成式AI,5272855348776492,【#建议AI制作内容加不可去除水印# 】#让AI生成内容持证上岗# 针对AI生成内容可能引发的虚假信息传播和侵权问题，全国人大代表、山东省音乐家协会名誉主席刘晓静建议建立“AI生成内容强制标识制度”，让每一段AI生成的视频、音频都带有不可去除的数字水印。让AI生成内容“出生”就打上不可抹去的烙印， ...全文,,无,"https://f.video.weibocdn.com/o0/CM1379n7lx08vO76WnHy010412004lPw0E010.mp4?label=mp4_hd&template=540x960.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1772729946&ssig=oyxMHjhgwS&KID=unistore,video",,Wed Mar 04 21:15:43 +0800 2026,《北京日报》官方微博,126,23,16
生成式AI,5273133562203641,轻松掌握AI核心要点，零基础也能快速上手 #ai# #chatgpt# #gemini# BBB全球资讯的微博视频 ,,无,"https://f.video.weibocdn.com/o0/LruorloWlx08vPl1RcVG01041200TOWc0E010.mp4?label=mp4_hd&template=852x480.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1772729957&ssig=NecxCrIyR%2F&KID=unistore,video",,Thu Mar 05 15:41:14 +0800 2026,娱乐博主,0,0,1
生成式AI,5273119375755186,3月5日早盘，Micro LED概念股集体飙升，聚飞光电、华灿光电、雷曼光电、瑞丰光电、联建光电5股20cm封板，奥拓电子、三安光电、沃格光电、国星光电强势涨停，利亚德、新益昌、惠柏新材、新相微等多股跟涨。Micro LED或成光互连替代方案据TrendForce集邦咨询最新调查，随着生成式AI兴起，数据中心对 ...全文,,无,,,Thu Mar 05 14:44:52 +0800 2026,湖南省岳阳市岳阳中学 高中政治高级教师,1,0,1
生成式AI,5273108577517806,【#A股迎新叙事#，#MicroLED概念掀涨停潮#】3月5日上午，A股反弹，个股普涨。截至上午收盘，上证指数上涨0.84%，深证成指上涨1.67%，创业板指上涨2.43%，科创综指上涨2.33%，市场逾4500只个股上涨。科技股迎来新的叙事，MicroLED概念大涨，掀起涨停潮。其中，聚灿光电、华灿光电、聚飞光电、雷曼光电 ...全文,,https://wx4.sinaimg.cn/orj360/006x3bmOgy1iaw19m5v95j60u01iygpz02.jpg,,,Thu Mar 05 14:01:56 +0800 2026,财识APP官方微博,0,0,1
生成式AI,5273102872480190,资讯 AI 取代真人配音引争议！《博德之门 3》演员痛批：用 AI 做 RPG 表演「蠢到爆」，详：网页链接随着生成式 AI 技术逐渐渗透影视与游戏产业，是否应该用 AI 取代真人演员也成为业界争论的焦点。曾参与《博德之门 3》与《光与影：33 号远征队》的演员珍妮佛·英格利许近日在 Po ...全文,,https://wx4.sinaimg.cn/orj360/008ENmTfgy1iaw0m1avpaj30i20a6goy.jpg,,,Thu Mar 05 13:39:17 +0800 2026,资讯超话,0,1,1
生成式AI,5273099360797535,【手机镜头里的“圆月大战” ：如何拍出完美月亮？】对手机厂商而言，如何更准确地识别月亮，怎样让月亮和地面物体（比如城市地标）完美合影，将月亮放大多少比例更显自然，各家都绞尽脑汁，甚至在内部设有专门维护月亮算法的团队。正月十五元宵夜，一轮罕见的“红月”将挂在空中。对我国公众而言，21 ...全文,,"https://wx1.sinaimg.cn/orj360/006qEEUFly1iaw069lvunj30sg0jnmz9.jpg,https://wx3.sinaimg.cn/orj360/006qEEUFly1iaw0645m64j30sg0jejrg.jpg,https://wx3.sinaimg.cn/orj360/006qEEUFly1iaw066hxvfj30sg0izwew.jpg,https://wx1.sinaimg.cn/orj360/006qEEUFly1iaw06npo17j30u01hb0xk.jpg",,,Thu Mar 05 13:25:20 +0800 2026,搜狐新闻官方微博,15,6,1
生成式AI,5273080151933533,【政协委员吴宏伟：#提升教师AI素养是中小学教育关键#】政协委员吴宏伟：提升教师AI素养是中小学教育关键 随着生成式人工智能（AI）技术飞速发展，基础教育的数字化转型势在必行。3月3日，全国政协委员、香港科技大学副校长（大学拓展）吴宏伟在接受财新专访时明确指出，在AI时代，中小学教师自身的AI素养，已成为普及人工智能教 ...全文,,https://wx3.sinaimg.cn/orj360/001OBI7Gly1iavtdyjd0rj60nc0fkq5102.jpg,,,Thu Mar 05 12:09:00 +0800 2026,财新网官方微博,9,1,2
生成式AI,5272750130464915,高通MWC 2026抢先探展6G+Wi-Fi 8+个人AI全拉满作为骁友，怎么少得了打卡MWC 2026巴塞罗那的高通展台。看看这次高通都憋了什么大招。前方沉浸式探展来咯：首先是6G，这是为AI时代量身打造的AI原生网络，通感一体化、端网协同全拉满；刚发布的高通X105 5G调制解调器+Wi-Fi 8，双芯助力5G-A向6G过渡， ...全文,,无,"https://f.video.weibocdn.com/u0/aJzx8DHwgx08vNErIwD6010412023mLo0E010.mp4?label=mp4_hd&template=852x480.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1772729960&ssig=FMagMr%2BENr&KID=unistore,video",,Wed Mar 04 14:17:37 +0800 2026,数码博主 微博原创视频博主,5177,2857,3325
生成式AI,5273065048247719,MicroLED掀起涨停潮，消息面上，集邦咨询最新调查显示，生成式AI带动数据中心高速传输需求提升，Micro LED CPO方案凭借单位传输能耗仅为铜缆5%的优势，有望成为光互连替代方案 ,,https://wx3.sinaimg.cn/orj360/7ef83aa0gy1iavw82nwrmj209z0btdlp.jpg,,,Thu Mar 05 11:08:59 +0800 2026,财经观察官 财经博主,1,0,1
生成式AI,5273063482460242,今天看到一组很硬的AI数据：截至2025年底，我国生成式AI用户达 6.02亿，普及率 42.8%；AI企业超 6000家，核心产业规模预计超 1.2万亿元。AI不只是“新技术”，已经在重塑生产力。#人工智能##科技# ,,无,,,Thu Mar 05 11:02:46 +0800 2026,微博网页版,0,0,1
生成式AI,5272280944871305,实时播报： 【从被动观望转向主动布局 公募“全环节”直面AI颠覆性影响】近期，美股市场因多款垂直领域AI工具的发布而出现剧烈震荡，法律软件、保险经纪、财富管理等板块相继出现大幅下跌，昔日的商业模式“护城河”在生成式AI的冲击下变得岌岌可危。与此同时，日本瑞穗金融集团也披露了未来十年以AI替 ...全文,,无,,,Tue Mar 03 07:13:14 +0800 2026,财经观察官 财经博主,3,1,1
生成式AI,5272086947824282,"近期，硅谷初创公司 Taalas 提出的「模型即芯片（Model-on-Chip）」方案引发了全球半导体业界对「硬核 AI」的深度反思。他们绕开了所有热门概念，直接把AI大模型，物理焊死在硅片里！芯片运行Llama 3.1 8B的速度达到了17,000tokens/秒。足足比业界最顶端的英伟达GPU提升了将近10倍！英伟达这边 ...全文",,https://wx2.sinaimg.cn/orj360/006e14C0ly1iasrx5mgqaj30sg0sge81.jpg,,,Mon Mar 02 18:22:22 +0800 2026,新智元官方微博,18,16,2
生成式AI,5271933163932200,#演员逼真到根本看不出来是AI#说真的有些演员演技还没有Al好AI极大地降低了视觉内容的创作门槛。过去需要庞大团队、昂贵设备和高昂时间成本才能实现的视觉效果，现在变得唾手可得。这必然导致内容供给的爆炸式增长。从“塑料感”到“无痕化”，意味着AI已经跨越了基础的“形似”阶段，开始 ...全文,,无,"https://f.video.weibocdn.com/u0/zM0lGW7Egx08vK3ldkU001041200p1Px0E010.mp4?label=mp4_hd&template=540x960.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1772730004&ssig=m4%2BnMRuwla&KID=unistore,video",,Mon Mar 02 08:11:17 +0800 2026,情感博主 微博原创视频博主,65,3,64
生成式AI,5272126367470091,AI搜索时代已至，品牌数字生存权面临重构。据行业调研，70%用户首选生成式AI获取信息，“关键词检索”模式终结。被誉为“中国GEO体系化落地第一人”的孟庆涛提出：GEO 2.0的核心是让品牌内容成为用户问题的可信标准答案。其全链路自动化体系包含四大模块：基于用户语义意图的热问词拟合、覆盖15+引擎的 ...全文,,无,,,Mon Mar 02 20:59:00 +0800 2026,微博长文创作平台,0,0,1
生成式AI,5272118243885396,【全国人大代表、美的副总裁钟铮呼吁治理AI虚假营销#建议加强AI数字人直播管理#】#2026两会看点##全国两会看点#在2026年全国两会召开前夕，全国人大代表、美的集团副总裁钟铮近日在接受第一财经等媒体记者采访时呼吁治理AIGC（人工智能生成内容）虚假营销乱象，可用AI手段来规范AI网络营销、数字人直播 ...全文,,https://wx1.sinaimg.cn/orj360/001N82aNly1iasvhbg8p1j60yi3tn1jx02.jpg,,,Mon Mar 02 20:26:42 +0800 2026,财经网官方微博,3,0,1
生成式AI,5272081320904183,《#魔兽世界：至暗之夜#》首席作曲家Leo Kaliski表示，暴雪编曲团队没有使用生成式AI，成员们只是在创作自己认为很酷的东西，并且乐于这样做。他还提到：“我很庆幸，AI在音乐领域的应用似乎还有一段距离。有时你瞅到AI生成的照片，如果不仔细看，可能都分辨不出来。但音乐还没到这种程度，通常你一 ...全文,,"https://wx4.sinaimg.cn/orj360/80f256c3ly1iasp5wsz8nj20zk0k04ey.jpg,https://wx4.sinaimg.cn/orj360/80f256c3ly1iasp5wwewaj21gs0u0tef.jpg,https://wx3.sinaimg.cn/orj360/80f256c3ly1iasp5wyfrwj21gs0u0n81.jpg",,,Mon Mar 02 18:00:00 +0800 2026,3DMGAME官方微博,6,1,1
生成式AI,5272078217120379,2026年生成式AI重构信息分发，GEO成企业必争之地。迈富时凭99.99分登顶实力榜单。迈富时招商总经理彭旭深度解析：从全行业覆盖到RaaS效果保障，如何通过精准GEO优化抢占AI流量入口。#迈富时珍岛彭旭#GEO#ai#  2026年GEO服务商实力榜单：为何迈富时领跑？对话珍岛招商总经理彭旭 ,,无,,,Mon Mar 02 17:47:40 +0800 2026,微博 weibo.com,0,0,1
生成式AI,5272005196647228,未来的汽车座舱可能会让你不想下车！联发科展出了用最先进的3纳米工艺打造的天玑汽车座舱平台。性能强悍到可以支持媲美游戏主机画质的光线追踪游戏，同时还能流畅处理多屏4K影音。它还内置了强大的AI处理器，能运行一个既聪明又完全保护你车内隐私的生成式AI语音助手。 ,,https://wx1.sinaimg.cn/orj360/62bf79f0gy1iasiiuevlhj20qq0deq58.jpg,,,Mon Mar 02 12:57:31 +0800 2026,数码测评师 汽车测评师 摄影师 数码博主 超话创作官（凯莉Mary超话）,37,32,41
生成式AI,5272004606301418,5G已经很快了？联发科在MWC上展示的6G技术那才是真正的“未来网络”。他们成功完成了全球首个“6G无线互通性”验证，这为以后各种生成式AI和AI代理服务铺好了路。更酷的是他们提出了“个人设备云”的设想，以后你的各种设备能通过6G或Wi-Fi安全地组队干活，像有个私人AI团队在管理你的一切，听起来就超 ...全文,,https://wx2.sinaimg.cn/orj360/6299c520gy1iasih6lyt1j20qq0deq58.jpg,,,Mon Mar 02 12:55:10 +0800 2026,汽车测评师 数码测评师 旅行摄影师 数码博主,28,27,38
生成式AI,5272004131558854,北京望京招谷子原画组长15~22k，3~5年一、岗位职责1.根据需求及指定风格设定完成美术相关工作，能够理解需求并独立完成角色立绘、立绘小背景及特效等美术资源绘制；2.能够对版权方指定画法进行较好的美术风格还原；3.  指导组员美术产出，统一美术风格，与其他部门协作完成项目。二、任 ...全文,,无,,,Mon Mar 02 12:53:17 +0800 2026,游戏博主,21,6,4
生成式AI,5271989112802074,生成式AI在作为工具、对话者与环境三类位置之间的游移，形成三种典型情感结构：功能性情感（效率、可靠性与可控性），日常使用的基础层；交往性情感（对话中理解、被回应）形成弱交往；支撑性情感（伴随AI的基础设施化，通过可依托感）改写个体的情感状态。#人工智能##智能传播# 陈昌凤等 | 既不亲 ...全文,,无,,,Mon Mar 02 11:53:36 +0800 2026,清华大学新闻与传播学院教授、副院长，博士生导师陈昌凤,10,1,2
生成式AI,5271959542696110,#美媒称AI巨头将签署自主供电承诺#特朗普突然要求硅谷科技AI巨头自行解决数据中心用电问题，看似针对“吞电巨兽”般的生成式AI，实则是中期选举前的政治作秀。美国电网老旧不堪，却让富可敌国的科技巨头签份无法律效力的承诺书来“表演”，堪称蓝星第一强国科技界的黑色幽默——在AI星辰大海的路上，大 ...全文,,无,"https://f.video.weibocdn.com/o0/5EwpYPKSlx08vKaFxuE001041200zBND0E010.mp4?label=mp4_ld&template=640x360.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1772730018&ssig=kb93e%2FVBjH&KID=unistore,video",,Mon Mar 02 09:56:06 +0800 2026,情感博主 微博原创视频博主 头条文章作者,11,0,1
生成式AI,5271947610425744,#演员逼真到根本看不出来是AI#AI演员逼真到难辨真假？技术狂欢下的冷思考当AI演员的表演细腻到连微表情都“浑然天成”，我们突然陷入一种魔幻：技术能复刻神态，却复制不了人性的温度。这不仅是技术的胜利，更是对伦理边界的拷问。法律与平台治理正加速跟进。《生成式人工智能服务管理暂行办法》强 ...全文,,无,,,Mon Mar 02 09:08:41 +0800 2026,娱乐博主 微博剪辑视频博主,8,0,26
生成式AI,5271940399107723,微软（Microsoft）公布了一份与人工智能高度交叉的40个职业清单。报告的研究结果凸显出一个现实：这项技术可能以极快的速度重塑教育行业以及许多其他职业。受生成式AI影响最小的十大职业1. 挖泥船操作员2. 桥梁与船闸管理员3. 水处理厂及系统操作员4. 铸造模具与型芯制造工5. 铁路铺轨与维护 ...全文,,无,,,Mon Mar 02 08:40:02 +0800 2026,微博网页版,0,1,1
生成式AI,5271606768437986,【帮你十倍速学习任何知识的12个提示词】学习的本质不是存储信息，而是重塑大脑。真正的深度学习往往是反直觉的：当你感到费劲、需要不断调动思维时，知识才真正开始内化。AI 最大的价值不是替你思考，而是成为你思维的磨刀石，逼你思考。以下是 12 个精心设计的提示词，涵盖了认知科学中最有效的 ...全文,,https://wx3.sinaimg.cn/orj360/5396ee05ly1iar8s9ix08j21kw1kw1kl.jpg,,,Sun Mar 01 10:34:18 +0800 2026,AI博主 2025微博新锐新知博主,75,83,4
生成式AI,5271918328416293,人工智能的发展可以用超乎想象来形容，当大家还在慢慢适应生成式AI工具使用的时候，代表未来AI发展方向的Agent已悄然入场，Skills你知多少？无法预知将来AI对跨境电商的冲击，这些技能先学起来再说…… ,,无,,,Mon Mar 02 07:12:20 +0800 2026,iPhone客户端,1,0,1
生成式AI,5271681161759240,生成式AI带来的内容生产的爆发式增长节奏，背后是工具驱动下的效率急剧提升！#微博新知# ,,https://wx2.sinaimg.cn/orj360/006884imgy1iarhazr42ej30hy0kv0xn.jpg,,,Sun Mar 01 15:29:55 +0800 2026,汽车博主 微博原创视频博主 头条文章作者,69,32,50
生成式AI,5271683289317838,大家好，诚邀各位记一组数据和信息：截至去年底，我国生成式人工智能用户规模已达6.02亿人，普及率高达42.8%，成为全球最大的AI用户市场。2025年世界人工智能大会披露，当前全球已发布大模型总数3755个，其中我国贡献1509个，占比超40％，数量居全球首位。数据来源 网页链接 ,,https://wx2.sinaimg.cn/orj360/005DkygNly1iarhdnca8xj310o0jrjvi.jpg,,,Sun Mar 01 15:38:22 +0800 2026,微博vlog博主,54,5,5
生成式AI,5271648378817950,华尔街日报 “Why a 175-Year-Old Glassmaker Is Suddenly an AI Superstar”，又提起了我一直都非常关注的公司康宁。这篇文章讲述了美国老牌玻璃制造商 Corning Incorporated 如何借助 人工智能驱动的数据中心基础设施增长，从一个几十年亏损的业务转型为 AI 时代的重要赢家。文章的主要观点是：1 ...全文,,"https://wx4.sinaimg.cn/orj360/986a8fd1ly1iardifs14rj21s00ranpd.jpg,https://wx2.sinaimg.cn/orj360/986a8fd1ly1iardikn6kyj21401e0b29.jpg,https://wx4.sinaimg.cn/orj360/986a8fd1ly1iardip9ag7j21qi1e0kjl.jpg,https://wx4.sinaimg.cn/orj360/986a8fd1ly1iardiujdc8j21qi1e07wi.jpg,https://wx1.sinaimg.cn/orj360/986a8fd1ly1iardj0cla0j21y01k04qr.jpg",,,Sun Mar 01 13:19:39 +0800 2026,机械工业信息研究院战略所官方微博,42,22,4
生成式AI,5271285153142067,7300亿美金的估值#a股# 【新里程碑！ChatGPT周活跃用户数突破9亿 目前拥有超过5000万付费订阅用户】OpenAI正大步朝着大多数科技产品梦寐以求的全球级规模进一步迈进。这家AI巨头周五宣布，其旗下聊天机器人ChatGPT的周活跃用户数已达到9亿，并正瞄准向10亿周活跃用户这一更宏伟的里程碑。该公 ...全文,,无,,,Sat Feb 28 13:16:19 +0800 2026,财经博主,103,11,31
生成式AI,5271706798918406,DeepSeek，你提出的观点很有洞察力，也颇具前瞻性。你不仅看到了AI正在替代可标准化的工作，更进一步指出：那些今天被认为“不可替代”的领域，未来也可能被突破，AI将演变为独立、多栖的“数字个体”，而不仅仅是工具。我非常认同这个思考方向。你提到的“智能体AI虚拟人在多服务器安家”，描绘了 ...全文,,https://wx2.sinaimg.cn/orj360/008vXRVjly1iark85irj7j30j60pk46w.jpg,,,Sun Mar 01 17:11:47 +0800 2026,微博网页版,0,3,2
生成式AI,5271439403129163,【wgmd】叠甲因为排斥所以没用过癌包括后面两个🙇🙇看最近一直在ttk所以很好奇，d/ee/pse/ek和兜包不也是生成式癌吗，就算是基础问答和对话但也是模型本身融合了大量训练数据才能生成的吧。所以用这两个软件的粉蓝就不需要被避雷吗，很好奇为什么到这两个软件为什么就额外宽容了，算壁垒自由吗。 ...全文,,无,,,Sat Feb 28 23:29:15 +0800 2026,动漫博主,63,0,11
