关键词,微博id,微博正文,头条文章url,原始图片url,微博视频url,发布位置,发布时间,发布工具,点赞数,转发数,评论数
人工智能,5273251460681118,#常德甘胜莲代表把脉AI医疗普惠转型##湖南AI医疗从试点示范走向全国普惠破局#【推动“AI+医疗”从“试点示范”向“全面普惠”转型】眼下，人工智能在辅助诊断、精准治疗、高效管理等领域的应用价值已得到广泛验证。“当前，我国AI+医疗正处于成熟落地阶段，但仍呈现‘局部化、单点化’特征，难以形成规 ...全文,,无,,,Thu Mar 05 23:29:43 +0800 2026,湖南日报官方微博,0,0,0
人工智能,5273165967135831,【全国政协委员王坚谈AI：#未来这些事只有中国能做#！】#中国AI发展彰显大国格局#全国政协委员王坚谈AI：“全世界有生产卫星能力、有发射能力，还能把人工智能带到太空去的国家，有哪个？在全球，真正能够为世界科技做贡献，还有理想的，可能就只剩下中国了。全球的任何国家、任何的人，都有平等的获取 ...全文,,无,"https://f.video.weibocdn.com/o0/SVfjLFyulx08vP4R3czm010412007Oim0E010.mp4?label=mp4_hd&template=540x960.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1772728977&ssig=O7umtYMO%2B9&KID=unistore,video",,Thu Mar 05 17:50:00 +0800 2026,央视国际网络有限公司,99,28,7
人工智能,5273250919353989,#APD亚太日报消息# 真实攻击还是游戏动画？人工智能时代信息小心被骗。最近，一段令人震撼的视频影像在社交平台X上以“伊朗战机对决美国军舰”为题发布后，已收获超过700万次观看 —— 视频中，一艘军舰向俯冲而来的战斗机猛烈开火，该飞机在湛蓝的天空中穿梭闪避，最终燃起熊熊烈火坠入大海。 “人 ...全文,,无,,,Thu Mar 05 23:27:34 +0800 2026,亞太日報官方微博,0,0,0
人工智能,5273168097837277,"""人工智能""大战往里炫，鼻子再灵也没招！#微博美食嘉年华##呀哈比比##贵州美食##豆包##人工智能##酸汤火锅# 呀哈比比老王的微博视频 ",,无,"https://f.video.weibocdn.com/o0/AYNfP8VYlx08vPuAgrdm01041209vvXE0E040.mp4?label=mp4_hd&template=852x480.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1772728977&ssig=zuTO%2FxJuqJ&KID=unistore,video",,Thu Mar 05 17:58:27 +0800 2026,美食博主,41,4,10
人工智能,5273249816248327,第一是领跑方面，像新能源、航空航天、新材料都属于领跑。特别在新能源领域，国外发展人工智能碰到了瓶颈，就是电力不足，我们国家在这方面没有问题，不但电力充足，而且是绿电。下一步就是在国际上持续建立优势。 第二是赶超方面，一些行业还处于赶超阶段，比如新能源汽车等。新能源汽车中央企业三年...全文,,无,,,Thu Mar 05 23:23:10 +0800 2026,HUAWEI P40 Pro 5G,0,0,0
人工智能,5272309897629118,#文明校园# 【芜湖中小学多元“开学礼”助力学子扬帆起航】3月2日，春意萌动，春雨淅沥，芜湖市中小学迎来2026年春季学期开学第一天。芜湖市各校精心策划，以传统文化体验、科技创新展示、艺术素养培育等多元形式，为孩子们打造别开生面的“开学礼”，让新学期在满满的仪式感中扬帆起航。　　唱响《 ...全文,,"https://wx3.sinaimg.cn/orj360/9c8ff7c3ly1iathiu102sj20m80gpn1f.jpg,https://wx2.sinaimg.cn/orj360/9c8ff7c3ly1iathiykuubj20m80gpjw4.jpg,https://wx2.sinaimg.cn/orj360/9c8ff7c3ly1iathj34jrbj20m80etwi6.jpg",,,Tue Mar 03 09:08:17 +0800 2026,芜湖市文明办官方微博,380,25,30
人工智能,5273213785343033,#2026看两会#【#这场部长通道太提气了#】“基础研究投入接近2800亿元，比重达到7.08%，首次破7，创历史新高！”3月5日，十四届全国人大四次会议首场“部长通道”在人民大会堂举行。戳视频↓↓感受现场！#奋进的春天#（人民网微博） 人民网的微博视频 ,,无,"https://f.video.weibocdn.com/o0/wXHVOxOKlx08vPFEh5ss01041200kGRm0E010.mp4?label=mp4_hd&template=540x960.24.0&ori=0&ps=1Cx9YB1mmR49jS&Expires=1772728971&ssig=1uCXTSj3RR&KID=unistore,video",,Thu Mar 05 21:00:01 +0800 2026,人民网法人微博,113,24,84
人工智能,5273240331094828,为什么是小米汽车？连续三年成为两会报告的代表。新质生产力代表！！！#汽场全开##新能源汽车# ,,https://wx4.sinaimg.cn/orj360/008vEy6xgy1iawgedqzjsj30zk0kzwib.jpg,,,Thu Mar 05 22:45:30 +0800 2026,汽车博主,77,1,4
人工智能,5273247932482695,#中国将在哪些方向发力#智能经济是什么？新版块吗。查了一下，说是通信➕人工智能➕数据。按照kimi给的答案，排除法看了看，感觉城市大脑更符合未来房地产复苏。房地产不复苏，经济恢复都难。自动驾驶+车路协同，也是交通建设，也离不开城市大脑。没炒过的技术概念是量子计算了。边缘计算就是物联网 ...全文,,https://wx1.sinaimg.cn/orj360/008B0iSRly1iawgte17ouj30u013qn1r.jpg,,,Thu Mar 05 23:15:41 +0800 2026,Xiaomi 17 Ultra,0,1,0
人工智能,5273245524694714,#专家称激发消费需提高居民收入# 【深读政府工作报告｜专访商务部研究院张建平：人工智能等领域对投资需求拉动十分明显，要通过央国企带动激发民间投资活力】#2026两会建言#  3月5日，十四届全国人大四次会议开幕，2026年政府工作报告将扩内需置于首位，提出统筹促消费和扩投资，设立1000亿元专项资金 ...全文,,https://wx4.sinaimg.cn/orj360/001NBLkrgy1iawgjx8iu3j61hc1udauw02.jpg,,,Thu Mar 05 23:06:08 +0800 2026,每日经济新闻官方微博,3,2,1
人工智能,5273245315241914,纳指在软件股上涨带动下重新上涨。安硕扩大科技软件行业ETF（IGV）上涨2.6%。  由于投资者担心人工智能带来的影响，今年以来软件股大部分时间处于低迷状态。安硕扩大科技软件行业ETF在2月23日跌至一年收盘低点76.94美元，但此后持续反弹。周四价格已接近88美元。  标普500表现最好的股票包括Trade Desk...全文,,无,,,Thu Mar 05 23:05:18 +0800 2026,海外新鲜事博主 头条文章作者,2,0,0
人工智能,5273244019197524,【抛弃传统巨头？中小企业正用自然语言“写”出自己的定制系统】据《华尔街日报》报道，关于人工智能工具可能取代传统商业软件的预测，正在市场的某些领域悄然成为现实。近期，越来越多中小型企业表示，他们正在通过“vibe coding”（AI注：指非技术人员通过自然语言与AI交互来编写和生成代码的新趋 ...全文,,无,,,Thu Mar 05 23:00:09 +0800 2026,海外资讯博主（美国）,0,0,0
人工智能,5273243981187097,【科技前沿｜#人形机器人离走进生活还有多远#】#人形机器人是如何团队协作的#在人工智能大模型驱动下，人形机器人应用边界持续拓展。中国人形机器人正加速走向一线，落地于工业生产、教育、服务等真实场景。支撑规模化应用的关键突破是什么？中国机器人产业属于自己的“ChatGPT时刻”，是否正在到来？ ...全文,,无,"https://f.video.weibocdn.com/o0/0OHCtE1vlx08vPwKpvOg01041202aDxm0E010.mp4?label=mp4_hd&template=852x480.25.0&ori=0&ps=1Cx9YB1mmR49jS&Expires=1772728939&ssig=PRWmaaR%2Fzw&KID=unistore,video",,Thu Mar 05 23:00:00 +0800 2026,天津交通广播官方微博,0,0,0
人工智能,5273243764394410,美国的 Door dash无人送货。人工智能时代会让欧美的高人工成本不再是阻碍了吗。小型无人送货车的出现，无人驾驶时代，城市的道路规划是否要从新定义了。 科技刘明新的微博视频 ,,无,"https://f.video.weibocdn.com/u0/9cTFMt5pgx08vPP6gtvO01041200deWF0E010.mp4?label=mp4_hd&template=540x960.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1772728978&ssig=ignyqCTbLg&KID=unistore,video",,Thu Mar 05 22:59:08 +0800 2026,本地资讯博主（深圳）,88,14,5
人工智能,5273243729792182,#2026全国两会时光#【两会观察丨听，什么正在津沽大地“拔节”？】#2026两会津彩瞬间# 国产芯片新突破、天问二号去追星、福建舰劈波斩浪、机器人春晚“秀武功”……说起“硬核”的中国科技，你还能想到哪些？一年来，我国发展向新向优、彰显蓬勃活力。新质生产力稳步发展，科技创新成果丰硕，人工智能 ...全文,,https://wx2.sinaimg.cn/orj360/0028HfYDly1iawgieuorrj60zk0jyjxa02.jpg,,,Thu Mar 05 22:59:00 +0800 2026,津云新闻官方微博,1,0,0
人工智能,5273243548387317,#2026全国两会时光#【两会特稿丨“创新是引领世界发展的重要动力”——中国携手世界共赴创新发展新征程】开年以来，中国创新热潮一次次牵动全球目光：人形机器人行云流水的武术表演视频在海外社交媒体广泛传播；国际奥委会基于阿里千问大模型打造奥运官方大模型，中国人工智能（AI）成为米兰冬奥会的“ ...全文,,https://wx1.sinaimg.cn/orj360/b0e0e823ly1iawgrmas3tj20dp096gp3.jpg,,,Thu Mar 05 22:58:17 +0800 2026,津云新媒体官方微博,0,0,0
人工智能,5273243105891783,陈思铭想  《仿生心脏不会爱上麻烦主人》①* 守财金牛铭×智能机器人罕* 铭罕 | 赛博朋克 | 人工智能—我把我的心脏给你，希望你能爱我。  专栏 · 嘉陵江著名正太情侣·📱 ,,"https://wx4.sinaimg.cn/orj360/008lvSZigy1iawgprsc5cj30n0314tme.jpg,https://wx1.sinaimg.cn/orj360/008lvSZigy1iawgps5791j30n00qcgnc.jpg,https://wx3.sinaimg.cn/orj360/008lvSZigy1iawgptf1xkj30n01m2n1c.jpg,https://wx4.sinaimg.cn/orj360/008lvSZigy1iawgptqf2zj30n01ou42p.jpg,https://wx1.sinaimg.cn/orj360/008lvSZigy1iawgpu1vx7j30n017qmzu.jpg,https://wx4.sinaimg.cn/orj360/008lvSZigy1iawgpuckxwj30n019k41e.jpg",,,Thu Mar 05 22:56:31 +0800 2026,娱乐博主,78,2,21
人工智能,5273242831167303,#中国将在哪些方向发力#别的就先不说了，未来人工智能产业将大规模爆发，而数据中心的电力问题就成了重中之重，美国等以石油能源控制世界的格局将被打破，我国未来用绿色电力影响世界的形势将不可逆转@大美遂 @安康发布 @成县陈东平 @东禾w @贝纳通 #农民# 比如陕西商洛柞水县曹坪镇这个项目就是一个 ...全文,,无,"https://f.video.weibocdn.com/u0/Mj9pz3e4gx08vPOwJGFG01041200xzIW0E010.mp4?label=mp4_ld&template=640x360.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1772728978&ssig=BI%2BmE3faC9&KID=unistore,video",,Thu Mar 05 22:55:26 +0800 2026,政府视频博主,103,16,15
人工智能,5273166836403912,#我国就业形势有两大不匹配现象#现在的就业市场，确实存在比较明显的结构性矛盾，主要体现在三个层面的“供需错配”上：第一个是技能与需求的错配。随着产业升级和数字化转型，市场对高技能、复合型人才需求旺盛，比如人工智能、大数据、智能制造这些领域缺口很大。但不少求职者的技能更新跟不上， ...全文,,"https://wx2.sinaimg.cn/orj360/8c166e79gy1iaw82x9yg1j20oz0hxagy.jpg,https://wx1.sinaimg.cn/orj360/8c166e79gy1iaw82xly8cj21400xt484.jpg,https://wx4.sinaimg.cn/orj360/8c166e79gy1iaw82xxcnnj21400xok0i.jpg",,,Thu Mar 05 17:53:27 +0800 2026,母婴育儿博主 微博原创视频博主,41,0,54
人工智能,5273158535876252,#我国就业形势有两大不匹配现象#缺少的是高精尖人才，大部分人都达不到要求。人工智能高速发展的的同时，很多岗位被替代了。以后就是高精尖的时代，科技越发达，我们的可替代性就越来越强，就比如以前农村种地全是靠人工，现在基本都是机械化，一人可以种很多的地。科技发展的同时，失业的人也会越 ...全文,,无,,,Thu Mar 05 17:20:28 +0800 2026,投资内容创作者 超话粉丝大咖（基金超话）,17,2,0
人工智能,5273241569461025,【#英伟达豪掷40亿美元投资光子公司#，增强数据中心芯片技术实力】#英伟达 NVDA[股票]# 澎湃新闻报道，当地时间3月2日，英伟达宣布向美国光子公司Coherent和Lumentum分别投资20亿美元，总计40亿美元。该笔投资将增强英伟达数据中心芯片技术实力，满足对人工智能处理器更快速处理的需求，支持大规模人 ...全文,,https://wx2.sinaimg.cn/orj360/00221ubBgy1iawgjfc7wpj60go08uq7p02.jpg,,,Thu Mar 05 22:50:24 +0800 2026,集成电路社区集微网官方微博,0,3,0
人工智能,5273170200496767,#林耘有话说# #ai# AI必须有立场，政治正确？美国财政部长贝森特下逐客令：人工智能初创公司Anthropic：几天后将脱离美国体系。 ,,https://wx4.sinaimg.cn/orj360/498f7927gy1iaw8f7oovvj20w067ehdt.jpg,,,Thu Mar 05 18:06:49 +0800 2026,投资内容创作者  财经观察官 头条文章作者,12,5,1
人工智能,5273091308786689,阿里看不上的别的地方抢着要😅 ,,"https://wx1.sinaimg.cn/orj360/66fd066bgy1iavz9wja4bj20gn0azn2j.jpg,https://wx1.sinaimg.cn/orj360/66fd066bgy1iavz8vzbddj20v918sqt3.jpg,https://wx1.sinaimg.cn/orj360/66fd066bgy1iavz9cpxpdj20gp0c9gov.jpg,https://wx2.sinaimg.cn/orj360/66fd066bgy1iaw14thtbvj20x40zogw4.jpg",,,Thu Mar 05 12:53:20 +0800 2026,前微软Asp.Net最有价值专家  2025微博年度新知博主 科技博主,487,81,69
人工智能,5273239274393990,2026年十大主线重点关注（很重要），建议收藏研究！ ,,"https://wx4.sinaimg.cn/orj360/0087cKSIgy1iawg9o84yij30qo15wdlg.jpg,https://wx2.sinaimg.cn/orj360/0087cKSIgy1iawg9p2cl4j30qo160wke.jpg,https://wx3.sinaimg.cn/orj360/0087cKSIgy1iawg9pmbptj30qo1680ym.jpg,https://wx1.sinaimg.cn/orj360/0087cKSIgy1iawg9q39v1j30qo16kq8w.jpg,https://wx4.sinaimg.cn/orj360/0087cKSIgy1iawg9qkygij30qo16jtex.jpg,https://wx3.sinaimg.cn/orj360/0087cKSIgy1iawg9r2ld4j30qo173grs.jpg,https://wx4.sinaimg.cn/orj360/0087cKSIgy1iawg9riou8j30qo15xwk8.jpg,https://wx4.sinaimg.cn/orj360/0087cKSIgy1iawg9rzsysj30qo15x448.jpg,https://wx3.sinaimg.cn/orj360/0087cKSIgy1iawg9shl52j30qo16ndlj.jpg",,,Thu Mar 05 22:41:18 +0800 2026,财经观察官 科技博主,46,6,5
人工智能,5273238974238488,【环球网：#日本瞄上北约项目##日本申请加入北约国防技术创新项目#】据环球网援引《日本经济新闻》3月5日报道，日本政府向北约提出申请，请求加入该组织的国防技术项目“防务创新加速器”（DIANA）。报道称，如果日方请求得到批准，日本将成为加入该项目的首个非北约成员国。据报道，北约DIANA项目旨 ...全文,,无,"https://f.video.weibocdn.com/o0/t57Z1NE7lx08vPNtxTgQ010412002Q2r0E010.mp4?label=mp4_hd&template=540x960.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1772728988&ssig=LqevOHLIxf&KID=unistore,video",,Thu Mar 05 22:40:06 +0800 2026,北京日报社视频官方账号,0,0,0
人工智能,5273230328994127,AFA｜🆕🇦🇷我们非常高兴地欢迎google和googleespanol成为阿根廷队新的全球主要赞助商，他们的品牌标识将独家出现在官方训练服上。欢迎加入世界冠军大家庭！🌟AFA 宣布 google & googleespanol 成为新的 𝐌𝐚𝐢𝐧 𝐆𝐥𝐨𝐛𝐚𝐥 𝐒𝐩𝐨𝐧𝐬𝐨𝐫 𝐨𝐟 ...全文,,"https://wx3.sinaimg.cn/orj360/006IpS41ly1iawf8oowb3j30u00u0tax.jpg,https://wx1.sinaimg.cn/orj360/006IpS41ly1iawfk862ebj30dc0nkjr6.jpg,https://wx1.sinaimg.cn/orj360/006IpS41ly1iawf8p6ifyj30u00u0ace.jpg,https://wx4.sinaimg.cn/orj360/006IpS41ly1iawf8pl78tj30u00u0tc4.jpg,https://wx3.sinaimg.cn/orj360/006IpS41ly1iawf8pxvxdj30u00u0whq.jpg","https://f.video.weibocdn.com/o0/4sYCLdMmlx08vPMbQCPu010412004vWA0E010.mp4?label=mp4_hd&template=480x848.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1772728988&ssig=LT4RZ6HfvI&KID=unistore,video",,Thu Mar 05 22:05:45 +0800 2026,体育博主 超话创作官（梅西超话）,25,0,3
人工智能,5272682297822949,最近一条2024年的油管老视频翻红， 因为视频里的加拿大华裔历史学Jiang教授做出了三大预测：特朗普将赢得大选、美国将与伊朗开战、以及美国将输掉这场战争。鉴于前两项预测已经应验，现在人们都很关心他是如何得出美国会失败这个预测的在这期最新的《Breaking Points》节目中，主持人邀请了Jiang教授 ...全文,,无,"https://f.video.weibocdn.com/o0/9HQ1tGW4lx08vNlYDQ9a01041202ehtn0E010.mp4?label=mp4_hd&template=852x480.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1772728988&ssig=mFWWhsPFU9&KID=unistore,video",,Wed Mar 04 09:48:04 +0800 2026,军事博主 超话粉丝大咖（飞扬军事超话）,4187,1512,203
人工智能,5273230265028867,《内景唐人街》（Interior Chinatown）作者Charles Yu在The Atlantic的文章，别把它称为“智能”Don’t Call It ‘Intelligence’人类是提问机器，AI 是回答机器本文改编自 Charles Yu 2026 年的 Joel Connaroe Lecture 演讲我偶尔会被一些大学邀请去做演讲，讲讲我是如何成为一名作家的。最简单 ...全文,,"https://wx1.sinaimg.cn/orj360/005RvuoQgy1iawf62l91bj31ac1l0qqg.jpg,https://wx2.sinaimg.cn/orj360/005RvuoQgy1iawf61ymxdj31ac0qbti9.jpg,https://wx3.sinaimg.cn/orj360/005RvuoQgy1iawf632pb8j31ac1haqok.jpg,https://wx3.sinaimg.cn/orj360/005RvuoQgy1iawf645d7zj31ac0nd13q.jpg,https://wx1.sinaimg.cn/orj360/005RvuoQgy1iawf64vr91j31ac1m2tv2.jpg,https://wx1.sinaimg.cn/orj360/005RvuoQgy1iawf65azzmj31ac0o848i.jpg,https://wx4.sinaimg.cn/orj360/005RvuoQgy1iawf65kt47j31ac17qql0.jpg,https://wx3.sinaimg.cn/orj360/005RvuoQgy1iawf65x0h5j31ac1o6nej.jpg,https://wx1.sinaimg.cn/orj360/005RvuoQgy1iawf666jjuj31ac1dk1a9.jpg",,,Thu Mar 05 22:05:30 +0800 2026,2023年深圳宝安马拉松 马拉松运动员  海外新鲜事博主,16,12,1
人工智能,5273238200387436,娱乐资本论曾报道过的3D生成大模型开发商VAST完成5000万美元A轮融资。本轮融资由阿里巴巴、恒旭资本联合领投，元禾璞华、BV百度风投、东方嘉富跟投，老股东春华创投、北京市人工智能产业投资基金追加投资。本轮融得的资金将主要用于VAST“世界模型”相关顶尖人才的招募、核心算法迭代与数据积累，以及 ...全文,,无,,,Thu Mar 05 22:37:02 +0800 2026,娱乐博主,0,0,0
