关键词,微博id,微博正文,头条文章url,原始图片url,微博视频url,发布位置,发布时间,发布工具,点赞数,转发数,评论数
生成式AI,5273038501449645,#模型时代# HiggsfieldAI 创始人谈AI产品打法：2个人90天，就可以做100万美金营收的生意这期Silicon Valley Girl播客的内容感觉很OPC。嘉宾Alex Mashrabov，是Higgsfield AI的联合创始人兼CEO。他曾在Snapchat主导生成式AI业务，此前创办的AI Factory于2020年被Snap以1.66亿美元收购。2025年初，他 ...全文,,无,,,Thu Mar 05 09:23:30 +0800 2026,至顶科技创始人 AI博主,34,23,2
生成式AI,5273217930889232,#建议把未成年人数据不出域当作底线#【全国政协委员龙婉丽：建议制定教育场景生成式AI使用负面清单和推荐清单】今年全国两会期间，全国政协委员，民盟上海市委副主委、上海市静安区副区长龙婉丽建议，制定教育场景生成式AI使用负面清单和推荐清单，强调杜绝“代劳式”使用，并按学段、学科、任务类型细 ...全文,,https://wx4.sinaimg.cn/orj360/005vnhZYgy1iawdtgp4bej60sr0g6jwj02.jpg,,,Thu Mar 05 21:16:29 +0800 2026,澎湃新闻官方微博,7,5,3
生成式AI,5273214448048503,对ai包容度稍微高的人，一开始只接受ai给予情绪价值，慢慢就会觉得让ai生成无伤大雅的文娱产物无所谓，紧接着会让ai参与自己的创作，最后完全将自身价值委身于ai，把ai对自己作品和人生的评价奉为圭臬。因为见识了太多我曾经认为的优质创作者变成这样，我仍然觉得，不要对生成式ai包容度太高，当一开 ...全文,,无,,,Thu Mar 05 21:02:39 +0800 2026,REDMI Turbo 4 Pro,13,4,2
生成式AI,5273149034726829,缩量上涨 明天关注两点今天大盘在外围股市普遍大涨的影响下，两市大盘高开高走，盘中最高上攻到4125点附近，随后开始逐步回落，最终还是以上涨报收，大盘虽然没有大涨，但两市个股涨多跌少，个股中位数超过0.7%，说明大部分人都是赚钱的，但没有前面6%的亏损，也就没有今天1%的反弹，这就是市场，永 ...全文,,https://wx4.sinaimg.cn/orj360/005LAkypgy1iaw5wk5tynj30zk0imdje.jpg,,,Thu Mar 05 16:42:43 +0800 2026,投资内容创作者,28,1,2
生成式AI,5273165555042536,【重复填的不算，不认真填的也不会发放，辛苦费也没多少钱没必要】这样来替我自己的毕业论文问卷宣传一下！认真填写的每份都有辛苦💰，大家记得看完指导语来填呀互关宝宝们能不能帮主播转转助力这个咕咕早日毕业，转发区收到300份后请ai师傅抽一杯奶茶🧋（但要帮我填问卷）一键助力主播毕业！ ,,https://wx1.sinaimg.cn/orj360/970379b5gy1iaw7t7vzogj20hs0to0xb.jpg,,,Thu Mar 05 17:48:22 +0800 2026,超话粉丝大咖（潘珏辰超话）,15,55,22
生成式AI,5273186146981283,原来在用ai翻译，那这个po主会把グラビアアイドル直接【理解】成舞台表演的偶像也真是毫不意外了……（AI翻訳を信頼するやつは全然信用できない※はいからうどん是天妇罗的炸面衣碎洒在乌冬表面做成的，是关西叫法，在关东的俗称是タヌキうどん，这个google一下也不难理解，至于问生成式AI吗… ,,https://wx1.sinaimg.cn/orj360/006JbQSFgy1iaw9yspzodj30zo185tl9.jpg,,,Thu Mar 05 19:10:11 +0800 2026,iPhone客户端,4,2,3
生成式AI,5273183792137524,明日三大主线布局：AI算力+量子民用+涨价业绩，谁领涨？ 免责声明：本文仅为市场信息整理，不构成投资建议。市场有风险，决策需谨慎。 一、Micro LED（AI光互连新主线） 核心驱动今日板块全线爆发，超20股涨停，成为最强风口。生成式AI推动数据中心高速传输需求爆发，传统铜缆在密度、功耗上触 ...全文,,https://wx4.sinaimg.cn/orj360/0080eujNgy1iaw9wkfrwyj30qo0fbmyb.jpg,,,Thu Mar 05 19:00:50 +0800 2026,体育博主,6,0,1
生成式AI,5273164890246546,Claude独立攻克图论猜想，仅用31步！算法祖师爷高德纳震惊发文震惊！震惊！就在刚刚，Claude仅用31步，就独立攻克了未解的图论猜想难题。写《计算机程序设计艺术》的算法祖师爷高德纳惊呼：「我不得不重新评估生成式AI在数学研究中的作用」。在斯坦福的官网上，他本人发布了一篇原始论文。开头 ...全文,,"https://wx2.sinaimg.cn/orj360/006e14C0ly1iaw7q7jkvaj30cp0bp408.jpg,https://wx2.sinaimg.cn/orj360/006e14C0ly1iaw7qf62mgj30u00ab13k.jpg",,,Thu Mar 05 17:45:43 +0800 2026,新智元官方微博,14,6,2
生成式AI,5273154697560715,🚀家人们谁懂啊！AI 这波真的要起飞了！！刚整理完2025-2026 AI最火前景，看完直接惊呆😱🔥 生成式AI已经杀疯了🤖 智能体Agent要取代打工人？💰 这些赛道正在暴富⚠️ 但这些坑千万别踩说实话，普通人想抓住AI红利，真得好好看看这篇！不说了，全文太长放评论区👇想看的宝子们 ...全文,,无,,,Thu Mar 05 17:05:13 +0800 2026,微博网页版,0,0,1
生成式AI,5273149069592290,#deepseek崩了#  3月5日大量用户反馈DeepSeek无法访问，页面持续提示服务器繁忙，代码调试、文案生成等工作被迫中断，话题迅速冲上热搜。官方回应称系瞬时访问量激增、网络波动导致，目前服务已逐步恢复。不少付费用户吐槽频繁宕机影响效率，也暴露出生成式AI平台算力扩容跟不上用户增长的行业难题。 ,,无,,,Thu Mar 05 16:42:51 +0800 2026,微博网页版,0,0,1
生成式AI,5272855348776492,【#建议AI制作内容加不可去除水印# 】#让AI生成内容持证上岗# 针对AI生成内容可能引发的虚假信息传播和侵权问题，全国人大代表、山东省音乐家协会名誉主席刘晓静建议建立“AI生成内容强制标识制度”，让每一段AI生成的视频、音频都带有不可去除的数字水印。让AI生成内容“出生”就打上不可抹去的烙印， ...全文,,无,"https://f.video.weibocdn.com/o0/CM1379n7lx08vO76WnHy010412004lPw0E010.mp4?label=mp4_hd&template=540x960.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1772729658&ssig=%2FOQY5IhPyA&KID=unistore,video",,Wed Mar 04 21:15:43 +0800 2026,《北京日报》官方微博,126,23,16
生成式AI,5273133562203641,轻松掌握AI核心要点，零基础也能快速上手 #ai# #chatgpt# #gemini# BBB全球资讯的微博视频 ,,无,"https://f.video.weibocdn.com/o0/LruorloWlx08vPl1RcVG01041200TOWc0E010.mp4?label=mp4_hd&template=852x480.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1772729660&ssig=aPwA6jhj%2Bi&KID=unistore,video",,Thu Mar 05 15:41:14 +0800 2026,娱乐博主,0,0,1
生成式AI,5273119375755186,3月5日早盘，Micro LED概念股集体飙升，聚飞光电、华灿光电、雷曼光电、瑞丰光电、联建光电5股20cm封板，奥拓电子、三安光电、沃格光电、国星光电强势涨停，利亚德、新益昌、惠柏新材、新相微等多股跟涨。Micro LED或成光互连替代方案据TrendForce集邦咨询最新调查，随着生成式AI兴起，数据中心对 ...全文,,无,,,Thu Mar 05 14:44:52 +0800 2026,湖南省岳阳市岳阳中学 高中政治高级教师,1,0,1
生成式AI,5273108577517806,【#A股迎新叙事#，#MicroLED概念掀涨停潮#】3月5日上午，A股反弹，个股普涨。截至上午收盘，上证指数上涨0.84%，深证成指上涨1.67%，创业板指上涨2.43%，科创综指上涨2.33%，市场逾4500只个股上涨。科技股迎来新的叙事，MicroLED概念大涨，掀起涨停潮。其中，聚灿光电、华灿光电、聚飞光电、雷曼光电 ...全文,,https://wx4.sinaimg.cn/orj360/006x3bmOgy1iaw19m5v95j60u01iygpz02.jpg,,,Thu Mar 05 14:01:56 +0800 2026,财识APP官方微博,0,0,1
生成式AI,5273102872480190,资讯 AI 取代真人配音引争议！《博德之门 3》演员痛批：用 AI 做 RPG 表演「蠢到爆」，详：网页链接随着生成式 AI 技术逐渐渗透影视与游戏产业，是否应该用 AI 取代真人演员也成为业界争论的焦点。曾参与《博德之门 3》与《光与影：33 号远征队》的演员珍妮佛·英格利许近日在 Po ...全文,,https://wx4.sinaimg.cn/orj360/008ENmTfgy1iaw0m1avpaj30i20a6goy.jpg,,,Thu Mar 05 13:39:17 +0800 2026,资讯超话,0,1,1
生成式AI,5273099360797535,【手机镜头里的“圆月大战” ：如何拍出完美月亮？】对手机厂商而言，如何更准确地识别月亮，怎样让月亮和地面物体（比如城市地标）完美合影，将月亮放大多少比例更显自然，各家都绞尽脑汁，甚至在内部设有专门维护月亮算法的团队。正月十五元宵夜，一轮罕见的“红月”将挂在空中。对我国公众而言，21 ...全文,,"https://wx1.sinaimg.cn/orj360/006qEEUFly1iaw069lvunj30sg0jnmz9.jpg,https://wx3.sinaimg.cn/orj360/006qEEUFly1iaw0645m64j30sg0jejrg.jpg,https://wx3.sinaimg.cn/orj360/006qEEUFly1iaw066hxvfj30sg0izwew.jpg,https://wx1.sinaimg.cn/orj360/006qEEUFly1iaw06npo17j30u01hb0xk.jpg",,,Thu Mar 05 13:25:20 +0800 2026,搜狐新闻官方微博,15,6,1
生成式AI,5273080151933533,【政协委员吴宏伟：#提升教师AI素养是中小学教育关键#】政协委员吴宏伟：提升教师AI素养是中小学教育关键 随着生成式人工智能（AI）技术飞速发展，基础教育的数字化转型势在必行。3月3日，全国政协委员、香港科技大学副校长（大学拓展）吴宏伟在接受财新专访时明确指出，在AI时代，中小学教师自身的AI素养，已成为普及人工智能教 ...全文,,https://wx3.sinaimg.cn/orj360/001OBI7Gly1iavtdyjd0rj60nc0fkq5102.jpg,,,Thu Mar 05 12:09:00 +0800 2026,财新网官方微博,9,1,2
生成式AI,5272750130464915,高通MWC 2026抢先探展6G+Wi-Fi 8+个人AI全拉满作为骁友，怎么少得了打卡MWC 2026巴塞罗那的高通展台。看看这次高通都憋了什么大招。前方沉浸式探展来咯：首先是6G，这是为AI时代量身打造的AI原生网络，通感一体化、端网协同全拉满；刚发布的高通X105 5G调制解调器+Wi-Fi 8，双芯助力5G-A向6G过渡， ...全文,,无,"https://f.video.weibocdn.com/u0/aJzx8DHwgx08vNErIwD6010412023mLo0E010.mp4?label=mp4_hd&template=852x480.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1772729672&ssig=h%2B38Idh%2BH%2F&KID=unistore,video",,Wed Mar 04 14:17:37 +0800 2026,数码博主 微博原创视频博主,5177,2857,3325
生成式AI,5273065048247719,MicroLED掀起涨停潮，消息面上，集邦咨询最新调查显示，生成式AI带动数据中心高速传输需求提升，Micro LED CPO方案凭借单位传输能耗仅为铜缆5%的优势，有望成为光互连替代方案 ,,https://wx3.sinaimg.cn/orj360/7ef83aa0gy1iavw82nwrmj209z0btdlp.jpg,,,Thu Mar 05 11:08:59 +0800 2026,财经观察官 财经博主,1,0,1
生成式AI,5273063482460242,今天看到一组很硬的AI数据：截至2025年底，我国生成式AI用户达 6.02亿，普及率 42.8%；AI企业超 6000家，核心产业规模预计超 1.2万亿元。AI不只是“新技术”，已经在重塑生产力。#人工智能##科技# ,,无,,,Thu Mar 05 11:02:46 +0800 2026,微博网页版,0,0,1
生成式AI,5273053021869492,市场研究机构TrendForce的最新调查指出，随着生成式AI的发展，数据中心对高速传输的需求激增，传统的铜缆方案在传输密度和能耗上面临严峻挑战。相比之下，一种全新的Micro LED CPO方案展现出显著优势。Micro LED CPO方案的单位传输能耗较低，可大幅降低整体能耗至传统铜缆方案的5%。凭借这一显著的节能 ...全文,,无,,,Thu Mar 05 10:21:12 +0800 2026,职业投资人,6,0,3
生成式AI,5273048346531943,这两天家里的事比较忙，正好市场也因为地缘事件有点小股灾的感觉，不过亚太都在跌，问题也不大吧！好久没聊AI了，今天聊一下AI基建吧！现在大家对生成式AI已经不陌生了，各种AI应用没玩过也至少都听过，但生成式AI本身是需要数据训练的，今天不谈数据，谈训练。训练就需要芯片，需要电力。我们长久 ...全文,,无,,,Thu Mar 05 10:02:37 +0800 2026,投资内容创作者 财经观察官,12,20,24
生成式AI,5273047929979272,MicroLED概念的逻辑： 1. AI光互连技术突破（核心催化） TrendForce集邦咨询最新报告指出，生成式AI的爆发使数据中心对高速、低能耗传输的需求激增。传统铜缆方案在传输密度和节能上遭遇瓶颈，而Micro LED CPO（共封装光学）方案的单位传输能耗仅为铜缆方案的5%，可大幅降低整体能耗，有望成为下一 ...全文,,无,,,Thu Mar 05 10:00:57 +0800 2026,投资内容创作者,76,55,52
生成式AI,5273047716337548,今天Micro LED出现涨停潮，核心催化剂是 Micro LED CPO（共封装光学）技术的节能优势被市场重新评估。根据市场咨询机构TrendForce的最新调查，随着生成式AI的兴起，数据中心对高速传输的需求激增。传统的铜缆传输方案在能耗和传输密度上正面临严峻挑战。相比之下，Micro LED CPO方案的单位传输能耗极 ...全文,,无,,,Thu Mar 05 10:00:07 +0800 2026,湖北金鼎轩投资管理有限公司 投资经理,3,0,1
生成式AI,5273046092873978,MicroLED / 光学光电子板块的逻辑： - AI光互连技术突破：生成式AI爆发使数据中心对高速、低能耗传输需求激增。TrendForce报告指出，MicroLED CPO（共封装光学）方案的单位传输能耗仅为铜缆方案的5%，有望成为下一代光互连核心替代方案，极大打开了市场想象空间。- 龙头股强势带动：华灿光电（+2 ...全文,,无,,,Thu Mar 05 09:53:39 +0800 2026,投资内容创作者,50,43,35
生成式AI,5273045977533705,新题材  Micro LED CPO概念受生成式AI驱动，数据中心对高速传输需求提升，Micro LED CPO因低能耗优势成为光互连替代方案。#Micro LED CPO概念##股票##a股#股票 ,,https://wx2.sinaimg.cn/orj360/007J1bajgy1iavu2ohsl4j30u01ltaiu.jpg,,,Thu Mar 05 09:53:12 +0800 2026,投资内容创作者 财经观察官 电竞博主 微博原创视频博主,21,13,9
生成式AI,5273035640931121,Micro LED CPO引爆算力革命 聚飞光电：LED封装龙头切入AI光通信黄金赛道 生成式AI浪潮下，数据中心高速互连需求爆发，传统铜缆受高功耗、高密度瓶颈制约，已难以支撑下一代算力网络。Micro LED CPO（光电共封装） 凭借颠覆性能效优势，成为光互联最优解，整体功耗仅为铜缆的5%，彻底重塑数据中心传输 ...全文,,https://wx3.sinaimg.cn/orj360/76e05059gy1iavsvzanmrj20kg14ngs4.jpg,,,Thu Mar 05 09:12:08 +0800 2026,投资内容创作者,40,1,3
生成式AI,5273035894688557,"【OpenClaw + GEO = AI时代的流量密码】🔥最近OpenClaw太火了，满屏都是AI Agent。但你有没有想过一个问题：当所有人都有了Agent，你的Agent怎么被发现？答案就是：GEO（生成式引擎优化）不是SEO那种优化给搜索引擎爬虫的，而是优化给ChatGPT、Claude、Perplexity这些AI""大脑""的。3月8日 ...全文",,无,,,Thu Mar 05 09:13:08 +0800 2026,微博网页版,1,0,1
生成式AI,5273029930389316,2026年六大潜力科技方向前瞻：技术突破与产业机遇科技革新始终是推动社会进步的核心动力，2026年多个领域将迎来技术迭代与产业化加速的关键节点。以下从电网、芯片半导体、人工智能与算力、无人驾驶、固态电池、人形机器人六大方向，解析技术核心、产业逻辑及代表性企业，为行业观察与布局提供参考（ ...全文,,"https://wx2.sinaimg.cn/orj360/006j0m38gy1iavs8av8xej30u013011o.jpg,https://wx4.sinaimg.cn/orj360/006j0m38gy1iavs8fvuwij30u0130ak3.jpg,https://wx3.sinaimg.cn/orj360/006j0m38gy1iavs8g9wfhj30u012ztjy.jpg,https://wx2.sinaimg.cn/orj360/006j0m38gy1iavs89wyq2j30u0132wny.jpg,https://wx4.sinaimg.cn/orj360/006j0m38gy1iavs8gk7bqj30u012y7dv.jpg,https://wx4.sinaimg.cn/orj360/006j0m38gy1iavs8gupdkj30u0139dny.jpg",,,Thu Mar 05 08:49:26 +0800 2026,投资内容创作者,1,1,1
生成式AI,5273024334139588,MIT CSAIL发布PhysiOpt系统，该系统将生成式AI与物理仿真结合，解决了传统生成式AI 3D设计缺乏物理认知、制成实物后无法承受日常使用的问题，让杯、钥匙架、书挡等个性化物品的3D设计兼具美观与实际可用性，相关研究成果已在2025年12月的亚洲SIGGRAPH会议展示，论文为《PhysiOpt: Physics-Driven Shape ...全文,,https://wx2.sinaimg.cn/orj360/856e45aagy1iavrlc1xxyj20u01bs7be.jpg,,,Thu Mar 05 08:27:12 +0800 2026,iPhone客户端,0,0,1
医护人员,5272797138125002,#田栩宁栩光同行# txn#田栩宁# 夸一夸柠檬水🍋们！你们超级超级棒！！！汉堡王反馈—北京，广州站这一次，我们送出了619份@汉堡王中国 套餐，总金额超过86000元。为北京、广州、安徽六家医院的病童、陪护家属和医护人员送去了一份特别的心意。谢谢每一位捐赠的柠檬水🍋宝宝，是你们的善意汇 ...全文,,"https://wx3.sinaimg.cn/orj360/008xvKdmgy1iatpqycuqoj33402c0e82.jpg,https://wx1.sinaimg.cn/orj360/008xvKdmgy1iatpr4f05uj31bf0zkaj4.jpg,https://wx2.sinaimg.cn/orj360/008xvKdmgy1iatpvlf1lwj34eo3b0b2c.jpg,https://wx4.sinaimg.cn/orj360/008xvKdmgy1iatpr6hwrfj33k02o07wj.jpg,https://wx2.sinaimg.cn/orj360/008xvKdmgy1iatpqzy3ukj34eo3b07wk.jpg,https://wx3.sinaimg.cn/orj360/008xvKdmgy1iatpr3rrlaj33402c0npe.jpg,https://wx2.sinaimg.cn/orj360/008xvKdmgy1iatpr7id7jj33k02o01ky.jpg,https://wx2.sinaimg.cn/orj360/008xvKdmgy1iatpr4qi7wj31ba0zg0zb.jpg,https://wx4.sinaimg.cn/orj360/008xvKdmgy1iatprdsl7sj35383tgnpj.jpg",,,Wed Mar 04 17:24:23 +0800 2026,娱乐博主,1783,358,337
医护人员,5266170943115509,直接从下面拿出来一个孩子，医护人员都还没准备好 做疝气手术的曾博士的微博视频 ,,无,"https://f.video.weibocdn.com/o0/qx7WZhc1lx08vkH2sjRe010412004WmX0E010.mp4?label=mp4_hd&template=540x1168.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1772729710&ssig=CnULKnImLG&KID=unistore,video",,Sat Feb 14 10:34:16 +0800 2026,知名健康博主,1185,68,83
医护人员,5272025356569965,#医院被炸伊朗医护抢出保温箱内婴儿#不管国家之间有什么分歧冲突医院和医护人员都必须受到保护绝不能成为攻击目标破坏医疗设施，就是剥夺平民的生存权毁掉生命的最后防线这种行为必须受到国际社会强烈谴责！ ,,无,,,Mon Mar 02 14:17:37 +0800 2026,头像本人 江西理工大学应用科学学院,26,0,4
医护人员,5272003960376177,关于某两个习惯于贩卖患者隐私在网上换流量的医护人员，我表达过不止一次了这个态度我说过好多次了，谁都喜欢八卦，遇到不平事，遇到好笑的事，遇到振奋人心的事，八卦一下子很正常可是，把自己工作对象当成自己的流量来源，时时刻刻跟秃鹫一样盯着自己的患者，每天绞尽脑汁的把自己的患者当流量放 ...全文,,"https://wx1.sinaimg.cn/orj360/62082449ly1iasiaovwofj20z08014qq.jpg,https://wx2.sinaimg.cn/orj360/62082449ly1iasiapj6koj20z023k4ad.jpg,https://wx2.sinaimg.cn/orj360/62082449ly1iasiapv9t3j20z023kwoo.jpg",,,Mon Mar 02 12:52:36 +0800 2026,读物博主 头条文章作者,690,47,18
医护人员,5259345647376873,谁不想自己喜欢的人出现在自己身边呢，医护人员健康回来以后，她的心愿就是见到王一博，王一博就假装服务人员出现在她身边🥹 你总说我泪眼汪汪的微博视频 ,,无,"https://f.video.weibocdn.com/o0/oGcx9PIElx08uQEvhcqI010412009d8q0E010.mp4?label=mp4_hd&template=540x960.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1772729710&ssig=LRFObopFBc&KID=unistore,video",,Mon Jan 26 14:32:59 +0800 2026,超话粉丝大咖（ROSÉ超话）,5542,156,130
医护人员,5272048692889307,#医院被炸伊朗医护抢出保温箱内婴儿##一分钟视频创作季# 医院本是救死扶伤的生命净土，却在战火中沦为袭击目标，连最脆弱的新生儿都要直面危险。爆炸、断电、废墟遍地，医护人员不顾自身安危，冲进重症监护室抢出保温箱里的早产儿，拼尽全力守护这些刚来到世界的小生命，他们是黑暗里最勇敢的光。无 ...全文,,无,"https://f.video.weibocdn.com/u0/fKiXwJl9gx08vKyYWvnO01041200dEXU0E010.mp4?label=mp4_hd&template=540x956.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1772729710&ssig=x5pHRGZkNC&KID=unistore,video",,Mon Mar 02 15:50:21 +0800 2026,中级系统集成项目管理工程师,23,0,19
医护人员,5272734217274347,今天去我手术的医院，核磁总算能做上了不过依然排很多人。这会了，还在等待。趁机观察了下医护人员的饮食感觉他们吃的好就和啊有的就买俩麻团、馅饼的，拎回办公室吃 ,,无,,,Wed Mar 04 13:14:23 +0800 2026,中国国家地理杂志社编辑,27,0,11
医护人员,5273066462249822,#两会看检察##代表最关注#【胡小青代表：让老百姓知道被网暴了该怎么维权】#检小西播报# 全国人大代表、江西省妇幼保健院肿瘤科副主任胡小青表示，近几年，医疗领域网络暴力不时发生，破坏医疗秩序、伤害医务人员。一桩桩悲剧，也为医疗领域网络暴力治理敲响警钟。她希望，检察机关继续加大对网络暴力 ...全文,,https://wx3.sinaimg.cn/orj360/005YYxUsly1iavwfi4aopj30gb0lrq46.jpg,,,Thu Mar 05 11:14:36 +0800 2026,山东省莱西市人民检察院官方微博,88,25,50
医护人员,5273171091527915,#建议医务人员薪酬不得与创收挂钩#确实医护不应该是生意，要回归本质，这个提议挺好的，希望贯彻一下，然后梳理一下收入结构。看好病，健康才是关键不应该是什么贵用什么，而是需要站在康复角度考量。 ,,无,,,Thu Mar 05 18:10:22 +0800 2026,数码测评师  汽车测评师 旅行摄影师 数码博主 微博原创视频博主 头条文章作者,40,17,22
医护人员,5273252206217742,【伊朗：尚未选出新任最高领袖，我们也没有向美国人传达任何信息】据媒体5日报道，伊朗副外长拉万奇表示，伊朗尚未选出新任最高领袖。拉万奇在接受采访时说：“在伊朗最高领袖哈梅内伊遇袭身亡后，伊朗已成立一个由三人组成的新机构，他们三人将负责国家事务，直至选出新任最高领袖。选举将遵循伊朗宪 ...全文,,https://wx2.sinaimg.cn/orj360/7e144d0egy1iawhrgmt01j20u00u0djf.jpg,,,Thu Mar 05 23:32:41 +0800 2026,南昌晚报洪观新闻官方微博,2,0,1
