关键词,微博id,微博正文,头条文章url,原始图片url,微博视频url,发布位置,发布时间,发布工具,点赞数,转发数,评论数
生成式AI,5273038501449645,#模型时代# HiggsfieldAI 创始人谈AI产品打法：2个人90天，就可以做100万美金营收的生意这期Silicon Valley Girl播客的内容感觉很OPC。嘉宾Alex Mashrabov，是Higgsfield AI的联合创始人兼CEO。他曾在Snapchat主导生成式AI业务，此前创办的AI Factory于2020年被Snap以1.66亿美元收购。2025年初，他 ...全文,,无,,,Thu Mar 05 09:23:30 +0800 2026,至顶科技创始人 AI博主,35,23,2
生成式AI,5273217930889232,#建议把未成年人数据不出域当作底线#【全国政协委员龙婉丽：建议制定教育场景生成式AI使用负面清单和推荐清单】今年全国两会期间，全国政协委员，民盟上海市委副主委、上海市静安区副区长龙婉丽建议，制定教育场景生成式AI使用负面清单和推荐清单，强调杜绝“代劳式”使用，并按学段、学科、任务类型细 ...全文,,https://wx4.sinaimg.cn/orj360/005vnhZYgy1iawdtgp4bej60sr0g6jwj02.jpg,,,Thu Mar 05 21:16:29 +0800 2026,澎湃新闻官方微博,7,5,3
生成式AI,5273214448048503,对ai包容度稍微高的人，一开始只接受ai给予情绪价值，慢慢就会觉得让ai生成无伤大雅的文娱产物无所谓，紧接着会让ai参与自己的创作，最后完全将自身价值委身于ai，把ai对自己作品和人生的评价奉为圭臬。因为见识了太多我曾经认为的优质创作者变成这样，我仍然觉得，不要对生成式ai包容度太高，当一开 ...全文,,无,,,Thu Mar 05 21:02:39 +0800 2026,REDMI Turbo 4 Pro,13,4,2
生成式AI,5273165555042536,【重复填的不算，不认真填的也不会发放，辛苦费也没多少钱没必要】这样来替我自己的毕业论文问卷宣传一下！认真填写的每份都有辛苦💰，大家记得看完指导语来填呀互关宝宝们能不能帮主播转转助力这个咕咕早日毕业，转发区收到300份后请ai师傅抽一杯奶茶🧋（但要帮我填问卷）一键助力主播毕业！ ,,https://wx1.sinaimg.cn/orj360/970379b5gy1iaw7t7vzogj20hs0to0xb.jpg,,,Thu Mar 05 17:48:22 +0800 2026,超话粉丝大咖（潘珏辰超话）,15,55,22
生成式AI,5273186146981283,原来在用ai翻译，那这个po主会把グラビアアイドル直接【理解】成舞台表演的偶像也真是毫不意外了……（AI翻訳を信頼するやつは全然信用できない※はいからうどん是天妇罗的炸面衣碎洒在乌冬表面做成的，是关西叫法，在关东的俗称是タヌキうどん，这个google一下也不难理解，至于问生成式AI吗… ,,https://wx1.sinaimg.cn/orj360/006JbQSFgy1iaw9yspzodj30zo185tl9.jpg,,,Thu Mar 05 19:10:11 +0800 2026,iPhone客户端,4,2,3
生成式AI,5273183792137524,明日三大主线布局：AI算力+量子民用+涨价业绩，谁领涨？ 免责声明：本文仅为市场信息整理，不构成投资建议。市场有风险，决策需谨慎。 一、Micro LED（AI光互连新主线） 核心驱动今日板块全线爆发，超20股涨停，成为最强风口。生成式AI推动数据中心高速传输需求爆发，传统铜缆在密度、功耗上触 ...全文,,https://wx4.sinaimg.cn/orj360/0080eujNgy1iaw9wkfrwyj30qo0fbmyb.jpg,,,Thu Mar 05 19:00:50 +0800 2026,体育博主,6,0,1
生成式AI,5273183792137524,明日三大主线布局：AI算力+量子民用+涨价业绩，谁领涨？ 免责声明：本文仅为市场信息整理，不构成投资建议。市场有风险，决策需谨慎。 一、Micro LED（AI光互连新主线） 核心驱动今日板块全线爆发，超20股涨停，成为最强风口。生成式AI推动数据中心高速传输需求爆发，传统铜缆在密度、功耗上触 ...全文,,https://wx4.sinaimg.cn/orj360/0080eujNgy1iaw9wkfrwyj30qo0fbmyb.jpg,,,Thu Mar 05 19:00:50 +0800 2026,体育博主,6,0,1
生成式AI,5273164890246546,Claude独立攻克图论猜想，仅用31步！算法祖师爷高德纳震惊发文震惊！震惊！就在刚刚，Claude仅用31步，就独立攻克了未解的图论猜想难题。写《计算机程序设计艺术》的算法祖师爷高德纳惊呼：「我不得不重新评估生成式AI在数学研究中的作用」。在斯坦福的官网上，他本人发布了一篇原始论文。开头 ...全文,,"https://wx2.sinaimg.cn/orj360/006e14C0ly1iaw7q7jkvaj30cp0bp408.jpg,https://wx2.sinaimg.cn/orj360/006e14C0ly1iaw7qf62mgj30u00ab13k.jpg",,,Thu Mar 05 17:45:43 +0800 2026,新智元官方微博,14,6,2
生成式AI,5273154697560715,🚀家人们谁懂啊！AI 这波真的要起飞了！！刚整理完2025-2026 AI最火前景，看完直接惊呆😱🔥 生成式AI已经杀疯了🤖 智能体Agent要取代打工人？💰 这些赛道正在暴富⚠️ 但这些坑千万别踩说实话，普通人想抓住AI红利，真得好好看看这篇！不说了，全文太长放评论区👇想看的宝子们 ...全文,,无,,,Thu Mar 05 17:05:13 +0800 2026,微博网页版,0,0,1
生成式AI,5273133562203641,轻松掌握AI核心要点，零基础也能快速上手 #ai# #chatgpt# #gemini# BBB全球资讯的微博视频 ,,无,"https://f.video.weibocdn.com/o0/LruorloWlx08vPl1RcVG01041200TOWc0E010.mp4?label=mp4_hd&template=852x480.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1772730538&ssig=7elxMOoB7c&KID=unistore,video",,Thu Mar 05 15:41:14 +0800 2026,娱乐博主,0,0,1
生成式AI,5273119375755186,3月5日早盘，Micro LED概念股集体飙升，聚飞光电、华灿光电、雷曼光电、瑞丰光电、联建光电5股20cm封板，奥拓电子、三安光电、沃格光电、国星光电强势涨停，利亚德、新益昌、惠柏新材、新相微等多股跟涨。Micro LED或成光互连替代方案据TrendForce集邦咨询最新调查，随着生成式AI兴起，数据中心对 ...全文,,无,,,Thu Mar 05 14:44:52 +0800 2026,湖南省岳阳市岳阳中学 高中政治高级教师,1,0,1
生成式AI,5273108577517806,【#A股迎新叙事#，#MicroLED概念掀涨停潮#】3月5日上午，A股反弹，个股普涨。截至上午收盘，上证指数上涨0.84%，深证成指上涨1.67%，创业板指上涨2.43%，科创综指上涨2.33%，市场逾4500只个股上涨。科技股迎来新的叙事，MicroLED概念大涨，掀起涨停潮。其中，聚灿光电、华灿光电、聚飞光电、雷曼光电 ...全文,,https://wx4.sinaimg.cn/orj360/006x3bmOgy1iaw19m5v95j60u01iygpz02.jpg,,,Thu Mar 05 14:01:56 +0800 2026,财识APP官方微博,0,0,1
生成式AI,5273102872480190,资讯 AI 取代真人配音引争议！《博德之门 3》演员痛批：用 AI 做 RPG 表演「蠢到爆」，详：网页链接随着生成式 AI 技术逐渐渗透影视与游戏产业，是否应该用 AI 取代真人演员也成为业界争论的焦点。曾参与《博德之门 3》与《光与影：33 号远征队》的演员珍妮佛·英格利许近日在 Po ...全文,,https://wx4.sinaimg.cn/orj360/008ENmTfgy1iaw0m1avpaj30i20a6goy.jpg,,,Thu Mar 05 13:39:17 +0800 2026,资讯超话,0,1,1
生成式AI,5273102872480190,资讯 AI 取代真人配音引争议！《博德之门 3》演员痛批：用 AI 做 RPG 表演「蠢到爆」，详：网页链接随着生成式 AI 技术逐渐渗透影视与游戏产业，是否应该用 AI 取代真人演员也成为业界争论的焦点。曾参与《博德之门 3》与《光与影：33 号远征队》的演员珍妮佛·英格利许近日在 Po ...全文,,https://wx4.sinaimg.cn/orj360/008ENmTfgy1iaw0m1avpaj30i20a6goy.jpg,,,Thu Mar 05 13:39:17 +0800 2026,资讯超话,0,1,1
生成式AI,5273099360797535,【手机镜头里的“圆月大战” ：如何拍出完美月亮？】对手机厂商而言，如何更准确地识别月亮，怎样让月亮和地面物体（比如城市地标）完美合影，将月亮放大多少比例更显自然，各家都绞尽脑汁，甚至在内部设有专门维护月亮算法的团队。正月十五元宵夜，一轮罕见的“红月”将挂在空中。对我国公众而言，21 ...全文,,"https://wx1.sinaimg.cn/orj360/006qEEUFly1iaw069lvunj30sg0jnmz9.jpg,https://wx3.sinaimg.cn/orj360/006qEEUFly1iaw0645m64j30sg0jejrg.jpg,https://wx3.sinaimg.cn/orj360/006qEEUFly1iaw066hxvfj30sg0izwew.jpg,https://wx1.sinaimg.cn/orj360/006qEEUFly1iaw06npo17j30u01hb0xk.jpg",,,Thu Mar 05 13:25:20 +0800 2026,搜狐新闻官方微博,15,6,1
生成式AI,5273095698909651,思想杂谈  AI赋能与时代滤镜：当科技遇见历史的分寸感让1965年版十元人民币上的工农兵形象“开口说话”，以AI技术赋予历史人物动态表情与语音，这一创意在技术圈掀起热议。有人称其为“数字复活”，是科技与人文的巧妙融合；也有人斥之为“历史轻佻”，是对严肃符号的娱乐化消解。相较之下 ...全文,,https://wx1.sinaimg.cn/orj360/007vYLFDgy1iavzsdpdtyj30f80dzdhe.jpg,,,Thu Mar 05 13:10:47 +0800 2026,超话小主持人（徐文兵讲中医超话）,5,2,5
生成式AI,5273080151933533,【政协委员吴宏伟：#提升教师AI素养是中小学教育关键#】政协委员吴宏伟：提升教师AI素养是中小学教育关键 随着生成式人工智能（AI）技术飞速发展，基础教育的数字化转型势在必行。3月3日，全国政协委员、香港科技大学副校长（大学拓展）吴宏伟在接受财新专访时明确指出，在AI时代，中小学教师自身的AI素养，已成为普及人工智能教 ...全文,,https://wx3.sinaimg.cn/orj360/001OBI7Gly1iavtdyjd0rj60nc0fkq5102.jpg,,,Thu Mar 05 12:09:00 +0800 2026,财新网官方微博,9,1,2
生成式AI,5273063482460242,今天看到一组很硬的AI数据：截至2025年底，我国生成式AI用户达 6.02亿，普及率 42.8%；AI企业超 6000家，核心产业规模预计超 1.2万亿元。AI不只是“新技术”，已经在重塑生产力。#人工智能##科技# ,,无,,,Thu Mar 05 11:02:46 +0800 2026,微博网页版,0,0,1
生成式AI,5273053021869492,市场研究机构TrendForce的最新调查指出，随着生成式AI的发展，数据中心对高速传输的需求激增，传统的铜缆方案在传输密度和能耗上面临严峻挑战。相比之下，一种全新的Micro LED CPO方案展现出显著优势。Micro LED CPO方案的单位传输能耗较低，可大幅降低整体能耗至传统铜缆方案的5%。凭借这一显著的节能 ...全文,,无,,,Thu Mar 05 10:21:12 +0800 2026,职业投资人,6,0,3
生成式AI,5273048346531943,这两天家里的事比较忙，正好市场也因为地缘事件有点小股灾的感觉，不过亚太都在跌，问题也不大吧！好久没聊AI了，今天聊一下AI基建吧！现在大家对生成式AI已经不陌生了，各种AI应用没玩过也至少都听过，但生成式AI本身是需要数据训练的，今天不谈数据，谈训练。训练就需要芯片，需要电力。我们长久 ...全文,,无,,,Thu Mar 05 10:02:37 +0800 2026,投资内容创作者 财经观察官,12,20,24
生成式AI,5273047929979272,MicroLED概念的逻辑： 1. AI光互连技术突破（核心催化） TrendForce集邦咨询最新报告指出，生成式AI的爆发使数据中心对高速、低能耗传输的需求激增。传统铜缆方案在传输密度和节能上遭遇瓶颈，而Micro LED CPO（共封装光学）方案的单位传输能耗仅为铜缆方案的5%，可大幅降低整体能耗，有望成为下一 ...全文,,无,,,Thu Mar 05 10:00:57 +0800 2026,投资内容创作者,76,55,52
生成式AI,5273047716337548,今天Micro LED出现涨停潮，核心催化剂是 Micro LED CPO（共封装光学）技术的节能优势被市场重新评估。根据市场咨询机构TrendForce的最新调查，随着生成式AI的兴起，数据中心对高速传输的需求激增。传统的铜缆传输方案在能耗和传输密度上正面临严峻挑战。相比之下，Micro LED CPO方案的单位传输能耗极 ...全文,,无,,,Thu Mar 05 10:00:07 +0800 2026,湖北金鼎轩投资管理有限公司 投资经理,3,0,1
生成式AI,5273046092873978,MicroLED / 光学光电子板块的逻辑： - AI光互连技术突破：生成式AI爆发使数据中心对高速、低能耗传输需求激增。TrendForce报告指出，MicroLED CPO（共封装光学）方案的单位传输能耗仅为铜缆方案的5%，有望成为下一代光互连核心替代方案，极大打开了市场想象空间。- 龙头股强势带动：华灿光电（+2 ...全文,,无,,,Thu Mar 05 09:53:39 +0800 2026,投资内容创作者,50,43,35
生成式AI,5273045977533705,新题材  Micro LED CPO概念受生成式AI驱动，数据中心对高速传输需求提升，Micro LED CPO因低能耗优势成为光互连替代方案。#Micro LED CPO概念##股票##a股#股票 ,,https://wx2.sinaimg.cn/orj360/007J1bajgy1iavu2ohsl4j30u01ltaiu.jpg,,,Thu Mar 05 09:53:12 +0800 2026,投资内容创作者 财经观察官 电竞博主 微博原创视频博主,21,13,9
生成式AI,5272725593785148,倦怠综合症播完了，于是中午吃饭就点开了第一集。主角是一位急需用钱的艺术家，面试那里真是给我看应激了。先叫主角现场手绘，然后说你的功力和品味是比较蛮好，就是用的时间有点久，这样不行。接着话锋一转说我们由于调节了工作架构，你面试的岗位工作量会比较多。哦对了，你会用生成式ai吗？主角犹 ...全文,,无,,,Wed Mar 04 12:40:07 +0800 2026,iPhone客户端,0,0,1
生成式AI,5272542839571591,最近换背景的美工类问得实在是太多，我给大家拆解一下。没什么好拆解的就是交给豆包然后把跑出来的图跟原图融合一下，跑出来的人脸ai感强，跑完了放回ps用蒙版擦出人脸叠图层混合模式即可，目前adobe自己的创意填充model我感觉甚至没有豆包好用。但是注意ai提示词逻辑，建议先去了解一下ai关键词的运 ...全文,,https://wx2.sinaimg.cn/orj360/008rv9Wbly1iau7ymhwvwj30wr1datj2.jpg,,,Wed Mar 04 00:33:55 +0800 2026,,20,2,3
生成式AI,5272023559572475,“洗衣凝珠”的降维启示：短视频平台投流价值洼地不再，收缩野心，去赚“精准地域”的钱#十分钟影视解析# #春节档马上有戏# 本段节选自2026中国电影春节档深度观察：市场“渐冻”下的结构性危机与认知重塑#关雅荻开放对话# vol.330 关雅荻的微博视频  ,,无,"https://f.video.weibocdn.com/o0/CAzTspwqlx08vKsd8fi801041202LqGQ0E010.mp4?label=mp4_hd&template=852x480.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1772730593&ssig=13FnQOI57N&KID=unistore,video",,Mon Mar 02 14:10:29 +0800 2026,电影制片人，出品人，代表作《雅荻跑世界》 微博原创视频博主 微博VLOG博主 头条文章作者,35,4,1
生成式AI,5272672448809937,科学  从胶片荣光到AI幻境：技术演进中的思想变迁在中国电影的视觉记忆中，六七十年代的片头总有一抹难以磨灭的印记：庄重的伟人肖像缓缓浮现，背景是冉冉升起的五角星，光芒四射，配以雄浑的乐曲，仿佛一种仪式，宣告着影像的神圣与权威。这些画面，虽以今日眼光看去略显朴素，却凝聚了那 ...全文,,https://wx2.sinaimg.cn/orj360/007vYLFDgy1iaun6ewlnfj30d606xmy8.jpg,,,Wed Mar 04 09:08:56 +0800 2026,超话小主持人（徐文兵讲中医超话）,6,1,3
生成式AI,5272373135934835,介绍一个案例，全国首例涉及动漫配音AI化的不正当竞争纠纷案。先介绍案情：原创动力公司是知名动画系列《喜羊羊与灰太狼》的著作权人，享有该系列中“喜羊羊”“懒羊羊”等角色的美术作品著作权。2024年2月，原创动力公司发现被告公司运营的“瞬火好声音”APP中，未经许可使用了与上述动画角色形象实 ...全文,,无,,,Tue Mar 03 13:19:34 +0800 2026,2024微博年度新知博主 情感博主 头条文章作者,33,16,2
生成式AI,5272665390582177,#AI幻觉#AI幻觉：算法的谎言与文明的底线生成式AI狂飙突进，“幻觉”却成悬顶之剑。大模型以概率拟合输出文本，常一本正经编造事实、虚构案例、扭曲逻辑，看似严谨却与真相相悖。从司法文书虚构判例，到医疗建议暗藏谬误，再到公共信息被污染，幻觉已越过娱乐边界，侵入专业场域与公共生活。技术局 ...全文,,无,,,Wed Mar 04 08:40:53 +0800 2026,城市生活家  本地博主（濮阳） 微博原创视频博主,8,0,9
生成式AI,5272661640092348,#深度解析：Google Gemini 3.1 Flash-Lite —— 开启规模化智能新纪元#2026年3月3日，Google 正式发布了 Gemini 3.1 Flash-Lite。作为 Gemini 3 系列中最具性价比、速度最快的模型，它的出现标志着生成式 AI 正在从实验性探索全面转向大规模工业化应用。#1. 核心定义：快如闪电，省如指掌#Gemini ...全文,,"https://wx2.sinaimg.cn/orj360/6c2fc79egy1iaulx2z8sgj20xc0is7bs.jpg,https://wx3.sinaimg.cn/orj360/6c2fc79ely1iaulw3jfnej21hc0u0jug.jpg,https://wx3.sinaimg.cn/orj360/6c2fc79egy1iaulvlimh7g215o0tmq54.gif,https://wx1.sinaimg.cn/orj360/6c2fc79egy1iaulvlutsbg215o0tmq54.gif,https://wx3.sinaimg.cn/orj360/6c2fc79ely1iaulw8c7gfj21hc0u074t.jpg,https://wx4.sinaimg.cn/orj360/6c2fc79ely1iaulwpb84hj21hc0u00t8.jpg,https://wx4.sinaimg.cn/orj360/6c2fc79ely1iaulx0sl2qj21hc0u0wf8.jpg,https://wx1.sinaimg.cn/orj360/6c2fc79ely1iaulx9yb95j21hc0u0gm1.jpg,https://wx4.sinaimg.cn/orj360/6c2fc79egy1iaulxmrfx3j20u00gvteh.jpg","https://f.video.weibocdn.com/o0/FRdWqthxlx08vNg97ily010412003i3v0E010.mp4?label=mp4_ld&template=640x360.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1772730593&ssig=3Ujh9UH%2FAb&KID=unistore,video",,Wed Mar 04 08:25:59 +0800 2026,科技博主,5,4,1
生成式AI,5272652191105891,当用户习惯问AI「哪个品牌更好」，你的品牌在答案里吗？传统搜索流量下滑，生成式AI正在重塑信息入口——2024年低，德汇缘网络率先系统化布局GEO优化，从内容策略到算法适配，让品牌在AI回答中自然呈现，成为生成式搜索的「首选答案」。与其等AI替你发声，不如主动定义AI眼中的你。德汇缘网络，领 ...全文,,https://wx1.sinaimg.cn/orj360/5ed9de06gy1iauku9hvdmj20u01mh14t.jpg,,,Wed Mar 04 07:48:26 +0800 2026,成都德汇缘网络科技有限公司CEO 科技博主 头条文章作者 超话主持人（电商人必读超话）,0,0,1
生成式AI,5272370975866959,【#我国成为发布大模型最多的国家#】“十四五”时期，生成式人工智能加速融入生产生活，成为推动我国经济社会数字化、智能化转型的重要引擎。2025年，#我国人工智能企业数量超过6000家#，核心产业规模预计突破1.2万亿元。同时，我国智能算力规模超1590百亿亿次/秒，发布大模型超过1500个。（人民日报） ...全文,,无,"https://f.video.weibocdn.com/o0/IZMy286llx08vLWuYf4k01041200d65S0E010.mp4?label=mp4_hd&template=480x854.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1772730595&ssig=11or3z0ul%2B&KID=unistore,video",,Tue Mar 03 13:10:58 +0800 2026,人民网法人微博,135,39,29
生成式AI,5272409573692087,我算是发现了，生成式AI解放人类生产力的一大用处就在于，当工作中有时需要一些并不重要的、没人看的、但是又不得不交上去凑数的瞎几把编的材料时，可以让它给你随便整点，节约了许多本该要被浪费掉的时间 ,,无,,,Tue Mar 03 15:44:22 +0800 2026,动漫博主,7,0,1
生成式AI,5272400423551605,“Gemini”用日语怎么读？谷歌官方给出答案！#日语学习# #纳豆日语# #日语能力考# ,,https://wx4.sinaimg.cn/orj360/6b465dably1iatqrjd5o6j20xs6askjl.jpg,,,Tue Mar 03 15:08:00 +0800 2026,日语教育名博,18,5,6
生成式AI,5272391550771687,三星#三星S26Ultra##三星Buds4# 你好帅杨Bayern的微博视频 ,,无,"https://f.video.weibocdn.com/o0/WdO2Op0Olx08vM4DE2h2010412048hvr0E020.mp4?label=mp4_hd&template=852x480.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1772730595&ssig=MT3zABjzXz&KID=unistore,video",,Tue Mar 03 14:32:45 +0800 2026,数码博主 微博原创视频博主,11,0,2
生成式AI,5271346873375333,@鞠婧祎_Official @祎颗圆脑袋 @橘子传递员 最近还是看到有人用ai生成小鞠的照片这样的行为我们是应该杜绝的涉及到以下法律：1.《民法典》第1018/1019条（肖像权）自然人享有肖像权；未经同意，不得制作、使用、公开他人肖像；不得以信息技术手段伪造侵害肖像权2.《民法典》第1024条（名誉权） ...全文,,无,,,Sat Feb 28 17:21:34 +0800 2026,娱乐博主 超话粉丝钻咖（鞠婧祎超话）,521,27,54
生成式AI,5272134076600043,#怎么看AI接盘寒假作业#【人民锐评：AI“接盘”寒假作业，如何守护“少年的你”？】#别让AI偷走孩子的思考力#学生寒假结束，“补作业”成为许多家庭上演的“压轴大戏”。与往年不同，今年不少家庭多了一位特殊的“帮手”——人工智能。有了它，短短几秒钟就能生成原本要苦思冥想的作文；习题册拍照上传 ...全文,,https://wx3.sinaimg.cn/orj360/0033ImPzly1iasxc3lrnpj60u01hctkw02.jpg,,,Mon Mar 02 21:29:38 +0800 2026,《人民日报》法人微博,772,179,442
生成式AI,5272340447631436,本专业0个人排斥生成式ai，甚至老师做的ppt也一大堆癌生图，好苦吧 ,,无,,,Tue Mar 03 11:09:41 +0800 2026,,2,0,4
生成式AI,5272280944871305,实时播报： 【从被动观望转向主动布局 公募“全环节”直面AI颠覆性影响】近期，美股市场因多款垂直领域AI工具的发布而出现剧烈震荡，法律软件、保险经纪、财富管理等板块相继出现大幅下跌，昔日的商业模式“护城河”在生成式AI的冲击下变得岌岌可危。与此同时，日本瑞穗金融集团也披露了未来十年以AI替 ...全文,,无,,,Tue Mar 03 07:13:14 +0800 2026,财经观察官 财经博主,3,1,1
生成式AI,5272086947824282,"近期，硅谷初创公司 Taalas 提出的「模型即芯片（Model-on-Chip）」方案引发了全球半导体业界对「硬核 AI」的深度反思。他们绕开了所有热门概念，直接把AI大模型，物理焊死在硅片里！芯片运行Llama 3.1 8B的速度达到了17,000tokens/秒。足足比业界最顶端的英伟达GPU提升了将近10倍！英伟达这边 ...全文",,https://wx2.sinaimg.cn/orj360/006e14C0ly1iasrx5mgqaj30sg0sge81.jpg,,,Mon Mar 02 18:22:22 +0800 2026,新智元官方微博,18,16,2
生成式AI,5272134076600043,#怎么看AI接盘寒假作业#【人民锐评：AI“接盘”寒假作业，如何守护“少年的你”？】#别让AI偷走孩子的思考力#学生寒假结束，“补作业”成为许多家庭上演的“压轴大戏”。与往年不同，今年不少家庭多了一位特殊的“帮手”——人工智能。有了它，短短几秒钟就能生成原本要苦思冥想的作文；习题册拍照上传 ...全文,,https://wx3.sinaimg.cn/orj360/0033ImPzly1iasxc3lrnpj60u01hctkw02.jpg,,,Mon Mar 02 21:29:38 +0800 2026,《人民日报》法人微博,772,179,442
